k-type,n,path_cost
k=5,100,3.920650398196563
k=5,200,5.205053295959814
k=5,300,4.257675209620483
k=5,400,3.781538527994572
k=5,500,3.781538527994572
k=5,600,3.736471341359758
k=5,700,3.4034107317264146
k=10,100,3.1665627560799967
k=10,200,3.0837059015138393
k=10,300,3.0837059015138393
k=10,400,3.0837059015138393
k=10,500,3.0837059015138393
k=10,600,3.3378937551102545
k=10,700,3.3378937551102545
k=log(n),100,4.713670517737958
k=log(n),200,5.205053295959814
k=log(n),300,4.257675209620483
k=log(n),400,3.781538527994572
k=log(n),500,3.781538527994572
k=log(n),600,3.5678460357423267
k=log(n),700,3.4034107317264146
k=10log(n),100,2.7821811646514494
k=10log(n),200,2.6988589691546006
k=10log(n),300,2.6988589691546006
k=10log(n),400,2.6988589691546006
k=10log(n),500,2.7332598349793633
k=10log(n),600,2.693450382292724
k=10log(n),700,2.693450382292724
k=n/10,100,3.1665627560799967
k=n/10,200,2.8676304938991115
k=n/10,300,2.7332598349793633
k=n/10,400,2.7332598349793633
k=n/10,500,2.7332598349793633
k=n/10,600,2.693450382292724
k=n/10,700,2.693450382292724
